Rank,School,Team,Solved,Penalty,Medal,Member1,Member2,Member3,Coach
212,石家庄铁道大学,syc的航空母舰,2,378,Honorable,宁宇,史屹琛,卢昊洋,沙金
213,西南科技大学,想要拿个牌,2,381,Honorable,曾灼凯,张华林,冯光超,杨春明
214,燕山大学,求求你们别A了,2,386,Honorable,邓琪琛,汤宸恺,刘浩壮,赵逢达
215,天津大学,TJU_咕咕咕,2,403,Honorable,吕亦敏,宋莉,高燔,喻梅
216,河南理工大学,光,2,412,Honorable,朱梓鑫,凡凯,李浩阳,王建芳
217,中国科学院大学,小学生,2,424,Honorable,段江飞,张紫飞,蔡昕,孙晓明
218,河北农业大学,出来看神仙顺便拿铁牌,2,438,Honorable,闫子安,蔡明宇,孙佳泽,高媛
219,南京晓庄学院,香港记者,2,447,Honorable,马益帆,刘翔昊,赵俊杰,周恺
220,广州大学,我好想吃麦当劳,2,450,Honorable,余梓宁,卢浩宇,陈浩珲,张为
221,中国传媒大学,防火防盗防AK,2,475,Honorable,卢玉洁,徐红莉,程镇,杨丽芳
222,南京晓庄学院,KTV,2,485,Honorable,朱明航,赵鹏宇,姚彦梦,周恺
223,西安邮电大学,达拉崩吧,2,518,Honorable,唐阳,牛淑敏,薛雨晴,周元哲
224,东北林业大学,注射用贝坦宁,2,570,Honorable,王泉茹,杨胜捷,杨德璐,陈宇
225,黑龙江大学,桃园三结义,2,718,Honorable,程伟民,方华宇,秦文博,徐辉
226,北京信息科技大学,秦皇岛一日游,1,9,Honorable,吴礼尉,司马晨,宋开元,牟永敏
227,西南科技大学,acmer滞销，帮帮我们,1,19,Honorable,刘思钰,唐鹏,钟程智,杨春明
228,天津工业大学,没钱吃饭，有钱请学长出去打比赛,1,36,Honorable,隆凯,刘啸宇,范露曦,任淑霞
229,山东农业大学,sdau_qhd18,1,47,Honorable,段耀玮,宋端正,杭彤彤,费玉奎
230,华侨大学,HQU_Young_Keyboarders,1,51,Honorable,薛振鹏,杜梓林,姚泽丰,罗伟
231,保定职业技术学院,不想取名字甚至想删数据库跑路,1,72,Honorable,康天宇,林朔,王垚,刘永辉
232,湖北民族学院,恩施大峡谷,1,73,Honorable,袁壮苗,李慧,朱鑫磊,罗庆斌
233,湘潭大学,燃烧我的人民币,1,77,Honorable,王柳,刘文龙,尤剑波,谢勇
234,河北地质大学,hello world,1,78,Honorable,王海涛,王聪,郭伟鑫,王楠
235,北京化工大学,LadyBug,1,86,Honorable,张熠坤,史淳静,李爽爽,刘勇
236,防灾科技学院,奥斯卡小金人,1,89,Honorable,司江胜,曾泽亮,钟俊杰,陈新房
237,河南理工大学,随遇而安,1,91,Honorable,刘帅坤,丁金峰,吴孟凯,王建芳
238,长春工业大学,噫呜呜噫,1,108,Honorable,马子航,刘洋,吴启槊,潘超
239,哈尔滨学院,随便搞一个就队,1,113,Honorable,张海伦,李雅婷,甄兰鸽,王克朝
240,吉首大学,要是再wa我就报警了,1,182,Honorable,胡炬,赖琪,李钢,黄伟
241,鲁东大学,领导说队名要霸气,1,226,Honorable,李运来,姜浩男,吴胜营,张小峰
242,南京晓庄学院,木牌选手,1,240,Honorable,孟君,赵婧茹,范雅静,周恺
243,广东金融学院,逐梦之影,1,562,Honorable,吴楚鹏,叶林华,林侯伸,钟雪灵
244,北京交通大学海滨学院,菩提本无树,0,0,Honorable,崔伟杰,赵申聪,胡子悦,韩越超
245,广州大学,喵喵喵喵,0,0,Honorable,林泽瀚,谢新荣,肖泽锴,张为
