Rank,School Rank,School,Team,Solved,Penalty,A,B,C,D,E,F,G,H,I,J,K,L,M,Dirt,Medal,Unofficial,Girl
99,,北京理工大学,迪杰斯特拉大战特斯拉,4,247,+1(13),-3,-,-,+1(67),-,-6,-,-,+1(30),+1(137),-,-,0%,Silver,N,N
100,65,西北大学,滑滑蛋,4,252,+1(25),-2,-,-,+1(62),-,-,-,-,+1(47),+1(118),-,-,0%,Silver,N,N
100,65,东北林业大学,先WA一发,4,252,+1(25),-,-,-,+1(56),-,-8,-,-,+1(44),+1(127),-,-,0%,Silver,N,N
100,65,浙大宁波理工学院,电脑开机就算成功,4,252,+1(26),-,-,-1,+1(38),-,-,-,-,+1(45),+1(143),-,-,0%,Silver,N,N
103,,北京理工大学,putchar,4,255,+1(16),-,-,-,+1(46),-,-7,-,-,+1(32),+1(161),-,-,0%,Silver,N,N
104,,四川大学,想买显卡,4,256,+1(24),-,-,-,+1(63),-,-2,-,-,+1(61),+1(108),-,-,0%,Silver,N,N
104,,北京航空航天大学,火锅队,4,256,+1(18),-1,-,-10,+1(46),-,-,-,-,+1(77),+1(115),-,-,0%,Silver,N,N
104,68,杭州电子科技大学信息工程学院,小人物,4,256,+1(21),-9,-,-,+1(58),-,-,-,-,+1(43),+1(134),-,-,0%,Silver,N,N
107,,南京大学,鸽屋咕,4,258,+1(22),-15,-,-1,+1(59),-,-,-,-,+1(62),+1(115),-,-,0%,Silver,N,N
108,,浙江工业大学,耶梦加得,4,260,+1(11),-4,-,-,+1(57),-,-,-,-1,+1(36),+1(156),-,-,0%,Silver,N,N
109,,北京师范大学,北师二队,4,262,+1(24),-5,-,-,+1(61),-,-3,-,-,+1(26),+1(151),-,-,0%,Silver,N,N
110,69,东北大学,河童重工,4,263,+1(30),-4,-,-,+1(20),-,-5,-,-,+1(52),+1(161),-,-,0%,Silver,N,N
111,,天津大学,背着队友偷偷WA,4,265,+1(31),-,-,-16,+1(64),-,-1,-,-,+1(53),+1(117),-,-,0%,Silver,N,N
111,70,江西师范大学,自码小队,4,265,+1(20),-5,-,-,+1(60),-,-,-,-,+1(35),+1(150),-,-,0%,Silver,N,N
113,,大连理工大学,优哉游戏,4,267,+1(40),-5,-,-,+1(63),-,-4,-,-,+1(34),+1(130),-,-,0%,Silver,N,N
113,,浙大宁波理工学院,世界最后之日,4,267,+1(17),-1,-,-,+1(82),-,-,-,-,+1(31),+1(137),-,-,0%,Silver,N,N
115,,北京化工大学,我只能爬,4,269,+1(16),-3,-,-,+1(59),-,-9,-,-,+1(46),+1(148),-,-,0%,Silver,N,N
116,71,武汉科技大学,憨包王,4,271,+1(32),-2,-,-,+1(68),-,-,-,-,+1(47),+1(124),-,-,0%,Silver,N,N
117,72,东北大学秦皇岛分校,neuq-ubuntu,4,272,+1(25),-6,-,-,+1(42),-,-4,-,-,+1(35),+1(170),-,-,0%,Silver,N,N
117,,西安电子科技大学,答案,4,272,+1(9),-2,-,-,+1(18),-,-4,-,-,+1(30),+1(215),-,-,0%,Silver,N,N
119,73,南京师范大学,这么巧，你也在上网冲浪啊,4,274,+1(18),-2,-,-,+1(68),-,-,-,-,+1(54),+1(134),-,-,0%,Silver,N,N
120,,华南理工大学,橘猫也想打比赛,4,276,+1(49),-3,-,-,+1(74),-,-2,-,-,+1(25),+1(128),-,-,0%,Silver,N,N
121,,浙江工业大学,ZJUT10,4,277,+1(17),-4,-,-,+1(69),-,-1,-,-,+1(38),+1(153),-,-,0%,Silver,N,N
121,,兰州大学,日常想不出名字,4,277,+1(22),-2,-,-,+1(52),-,-,-,-,+1(41),+1(162),-,-,0%,Silver,N,N
123,,西安电子科技大学,嘤嘤嘤,4,278,+1(30),-3,-,-,+1(42),-,-4,-,-,+1(110),+1(96),-,-,0%,Silver,N,N
123,74,福州大学,重振现场赛荣光，吾辈义不容辞,4,278,+1(36),-2,-,-,+1(60),-,-10,-,-,+1(58),+1(124),-,-,0%,Silver,N,N
125,75,上海大学,我的算法题哪有那么简单！,4,281,+1(20),-,-,-,+1(41),-,-6,-,-,+1(59),+1(161),-,-,0%,Silver,N,N
125,75,太原理工大学,九章算树,4,281,+1(17),-,-,-,+1(50),-,-3,-,-,+1(34),+1(180),-,-,0%,Silver,N,N
127,77,中国石油大学（北京）,好山好水好地方,4,283,+1(27),-,-,-,+1(68),-,-6,-,-,+1(44),+1(144),-,-,0%,Silver,N,N
128,,南京大学,还没想好叫什么,4,287,+1(28),-1,-,-,+1(82),-,-3,-,-,+1(70),+1(107),-,-,0%,Silver,N,N
129,,浙江工业大学,一个梦想两个梦想三个梦想,4,288,+1(17),-,-,-,+1(53),-,-4,-,-,+1(34),+1(184),-,-,0%,Silver,N,N
130,78,长安大学,打完比赛去吃黄焖鸡,4,289,+1(28),-3,-,-,+1(65),-,-,-,-,+1(52),+1(144),-,-,0%,Silver,N,N
130,78,西北工业大学,拿到银牌就算成功,4,289,+1(23),-,-1,-,+1(70),-,-4,-,-,+1(39),+1(157),-,-,0%,Silver,N,N
132,,华东师范大学,阿萨打发撒,4,291,+1(17),-4,-,-,+1(64),-,-5,-,-,+1(54),+1(156),-,-,0%,Silver,N,N
