Rank,School Rank,School,Team,Solved,Penalty,Member1,Member2,Member3,Medal,Unofficial,Girl
148,,中国矿业大学,一般性随机忆墨人,3,739,宋明潇,杨斌涵,钟泽旭,Bronze,N,N
149,,湖南师范大学,猫猫能量,3,748,姜远仁,胡昀霏,陈代康,Bronze,N,N
150,,南京理工大学,饼干,3,752,陈一涵,代领,谢东娜,Bronze,N,N
151,,新疆大学,xju02,3,754,吕昂,陈永园,吴昌坤,Bronze,N,N
152,92,浙江科技学院,枸杞泡澡,3,760,袁佳菲,蔡炳旭,蒋贤潇,Bronze,N,N
153,93,北京理工大学珠海学院,星火燎原,3,761,张润泽,洪宇勋,郑润民,Bronze,N,N
154,,南京理工大学,你有这时间翻队名不是再能a两道题,3,773,张悦熠,何丰辰,王一萌,Bronze,N,N
155,94,北京理工大学,阿夸滑滑蛋喝冰红茶,3,777,李嘉政,李轩宇,彭程,Bronze,N,N
156,,泉州师范学院,AC再爱我亿次,3,788,陈佳乐,施维康,张自力,Bronze,N,N
157,95,中南大学,我们去昆明吃什么,3,796,许宸哲,郑逸程,霍旭洋,Bronze,N,N
158,,南京大学,菜根队,3,810,贺柄毓,柴浩天,陈荣锴,Bronze,N,N
159,,吉林大学,代码搬运工,3,829,侯德亮,无,无,Bronze,N,N
160,96,厦门大学,柳下桃蹊,3,832,韩可可,黄凯佳,黄勖,Bronze,N,N
161,97,华中科技大学,偏远小山村传统弱校,3,842,李根,陈贤坤,陈开宇,Bronze,N,N
162,,南京大学,还没想好叫什么,3,858,王恺予,张乃仁,王锦朋,Bronze,N,N
163,,山东师范大学,浩然今天吃了么,3,869,王位毅,李明阳,聂晓阳,Bronze,N,N
164,98,北京邮电大学,六目相对,3,870,崔家瑞,崔芳洲,罗毅锐,Bronze,N,N
165,,上海理工大学,面向样例编程,3,890,李明懿,韩昱川,无,Bronze,N,N
166,,重庆邮电大学,怎么会是呢,3,898,江骏扬,罗昊,康德,Bronze,N,N
167,99,武汉工程大学,真的有人学了几年还在打铁吗？,3,905,刘超,黎永琪,刘宣萱,Bronze,N,N
168,100,南京航空航天大学,在ICPC中寻求AC是否搞错了什么？,3,927,钱品亦,李亚宁,岑嘉诚,Bronze,N,N
169,101,山东大学（威海）,无敌暴龙冰河可爱爆了,3,1041,祁盛文,宁涛,汤子锋,Bronze,N,N
170,,广州大学,啊对对对,3,1066,林希栋,罗锦祺,李泽刚,Bronze,N,N
171,,哈尔滨工业大学（威海）,阿波罗11,3,1079,陈柏羽,阮文哲,纪鑫鹏,Bronze,N,N
172,102,南昌大学,酸甜泡芙,3,1082,万钧,蔡定中,惠鹏程,Bronze,N,N
173,,南京理工大学,瑟瑟发抖,2,111,刘星辰,季若曦,王瀚楠,Bronze,N,N
174,,北京交通大学,有三个人前来买瓜,2,165,韦正豪,无,无,Bronze,N,N
175,103,香港科技大学,树状数组不能维护01背包,2,172,温子奇,张重,张瑜隽,Bronze,N,N
176,104,平顶山学院,平院一队,2,193,邢玉龙,朱梦飞,刘力宾,Bronze,N,N
177,,西安电子科技大学,布鲁特福斯惊呼内行,2,199,谭升阳,谢铭松,郭浩杰,Bronze,N,N
178,,北京理工大学,贝尔曼福德大战浮士德,2,204,杨予宸,刘志丹,焦鹏屹,Bronze,N,N
179,105,长沙理工大学,老面油条,2,217,杨韬,侯骏哲,张禹轩,Bronze,N,N
180,,上海大学,噫吁嚱,2,223,谢奕,陶钧,李梓航,Bronze,N,N
181,106,宁波大学,知世小天使请别难过喔,2,226,李嘉琪,梁航锋,王茹月,Bronze,N,N
182,107,中国海洋大学,黑夜犬人Pro,2,227,谢天意,谢腾飞,储思晴,Bronze,N,N
183,108,阜阳师范大学,正宗太和羊肉板面,2,227,蹇浩航,解正源,张成玺,Bronze,N,N
184,,鲁东大学,三带一,2,228,武远博,王敬仪,马业森,Bronze,N,N
185,109,东北大学,东北大学_河童重工,2,230,郝思成,陈锦绥,吴钰璋,Bronze,N,N
186,109,浙江科技学院,重庆鸡公煲,2,233,蒋银帆,丁好,卢超翼,Bronze,N,N
187,,武昌理工学院,昆仑虚,2,238,常毅威,周思豪,常康腾,Bronze,N,N
188,,南开大学,我没意见,2,242,黄子懿,苑华莹,郑原,Bronze,N,N
189,,福州大学,coder和他的两个眼缘队友,2,245,庄佳霖,吴泽凯,林文浩,Bronze,N,N
190,,南昌航空大学,冰与火之歌,2,248,王旻镐,张豪,蔡威,Bronze,N,N
191,111,西南民族大学,刻晴想吃cherry么,2,248,张珺开,肖振威,汪湘衡,Bronze,N,N
192,,浙江理工大学,赚钱小分队,2,248,瞿程浩,吴士超,楼家豪,Bronze,N,N
193,112,浙大宁波理工学院,笛卡尔鸡,2,252,胡向东,夏宇,吴亦初,Bronze,N,N
194,113,浙江工业大学,ZJUT6,2,255,陈天阳,苗子豪,薛予凡,Bronze,N,N
195,114,河南工业大学,攻壳机动队,2,255,孔维飒,李志豪,张君毅,Bronze,N,N
